"","date","frequency","happiness","timeseries"
"1",2015-01-01,129070698,"6.146","/api/v1/timeseries/3/"
"2",2015-01-02,126984907,"6.066","/api/v1/timeseries/3/"
"3",2015-01-03,130111160,"6.068","/api/v1/timeseries/3/"
"4",2015-01-04,139112977,"6.034","/api/v1/timeseries/3/"
"5",2015-01-05,117297414,"6.055","/api/v1/timeseries/3/"
"6",2015-01-06,144342204,"6.048","/api/v1/timeseries/3/"
"7",2015-01-07,132986901,"6.009","/api/v1/timeseries/3/"
"8",2015-01-08,127656374,"6.028","/api/v1/timeseries/3/"
"9",2015-01-09,120125101,"6.043","/api/v1/timeseries/3/"
"10",2015-01-10,121068263,"6.057","/api/v1/timeseries/3/"
"11",2015-01-11,140832768,"6.056","/api/v1/timeseries/3/"
"12",2015-01-12,132926007,"6.070","/api/v1/timeseries/3/"
"13",2015-01-13,127527201,"6.064","/api/v1/timeseries/3/"
"14",2015-01-14,125134751,"6.056","/api/v1/timeseries/3/"
"15",2015-01-15,124362194,"6.067","/api/v1/timeseries/3/"
"16",2015-01-16,116802983,"6.089","/api/v1/timeseries/3/"
"17",2015-01-17,115723175,"6.096","/api/v1/timeseries/3/"
"18",2015-01-18,133426601,"6.071","/api/v1/timeseries/3/"
"19",2015-01-19,130594530,"6.058","/api/v1/timeseries/3/"
"20",2015-01-20,129877248,"6.057","/api/v1/timeseries/3/"
"21",2015-01-21,125990108,"6.055","/api/v1/timeseries/3/"
"22",2015-01-22,123659882,"6.052","/api/v1/timeseries/3/"
"23",2015-01-23,115978123,"6.082","/api/v1/timeseries/3/"
"24",2015-01-24,117298835,"6.088","/api/v1/timeseries/3/"
"25",2015-01-25,125175793,"6.069","/api/v1/timeseries/3/"
"26",2015-01-26,126601174,"6.055","/api/v1/timeseries/3/"
"27",2015-01-27,126374507,"6.052","/api/v1/timeseries/3/"
"28",2015-01-28,128298096,"6.048","/api/v1/timeseries/3/"
"29",2015-01-29,120643238,"6.050","/api/v1/timeseries/3/"
"30",2015-01-30,114105838,"6.079","/api/v1/timeseries/3/"
"31",2015-01-31,115995086,"6.108","/api/v1/timeseries/3/"
"32",2015-02-01,154862261,"6.095","/api/v1/timeseries/3/"
"33",2015-02-02,131758089,"6.061","/api/v1/timeseries/3/"
"34",2015-02-03,123412460,"6.052","/api/v1/timeseries/3/"
"35",2015-02-04,124285789,"6.060","/api/v1/timeseries/3/"
"36",2015-02-05,120805016,"6.066","/api/v1/timeseries/3/"
"37",2015-02-06,114667794,"6.078","/api/v1/timeseries/3/"
"38",2015-02-07,116962776,"6.088","/api/v1/timeseries/3/"
"39",2015-02-08,136360553,"6.077","/api/v1/timeseries/3/"
"40",2015-02-09,123076887,"6.061","/api/v1/timeseries/3/"
"41",2015-02-10,119873333,"6.060","/api/v1/timeseries/3/"
"42",2015-02-11,121731767,"6.043","/api/v1/timeseries/3/"
"43",2015-02-12,117568493,"6.065","/api/v1/timeseries/3/"
"44",2015-02-13,115706726,"6.121","/api/v1/timeseries/3/"
"45",2015-02-14,112999609,"6.184","/api/v1/timeseries/3/"
"46",2015-02-15,116041892,"6.074","/api/v1/timeseries/3/"
"47",2015-02-16,129744286,"6.042","/api/v1/timeseries/3/"
"48",2015-02-17,129035077,"6.051","/api/v1/timeseries/3/"
"49",2015-02-18,127430855,"6.040","/api/v1/timeseries/3/"
"50",2015-02-19,128774588,"6.047","/api/v1/timeseries/3/"
"51",2015-02-20,125413498,"6.083","/api/v1/timeseries/3/"
"52",2015-02-21,120982878,"6.074","/api/v1/timeseries/3/"
"53",2015-02-22,136499141,"6.073","/api/v1/timeseries/3/"
"54",2015-02-23,126674289,"6.058","/api/v1/timeseries/3/"
"55",2015-02-24,128721779,"6.047","/api/v1/timeseries/3/"
"56",2015-02-25,135787811,"6.070","/api/v1/timeseries/3/"
"57",2015-02-26,131508615,"6.052","/api/v1/timeseries/3/"
"58",2015-02-27,122673350,"6.074","/api/v1/timeseries/3/"
"59",2015-02-28,117576281,"6.099","/api/v1/timeseries/3/"
"60",2015-03-01,130932283,"6.088","/api/v1/timeseries/3/"
"61",2015-03-02,125949086,"6.064","/api/v1/timeseries/3/"
"62",2015-03-03,127277080,"6.058","/api/v1/timeseries/3/"
"63",2015-03-04,127605022,"6.051","/api/v1/timeseries/3/"
"64",2015-03-05,126403467,"6.053","/api/v1/timeseries/3/"
"65",2015-03-06,115633111,"6.088","/api/v1/timeseries/3/"
"66",2015-03-07,115738631,"6.095","/api/v1/timeseries/3/"
"67",2015-03-08,115736735,"6.107","/api/v1/timeseries/3/"
"68",2015-03-09,127389618,"6.058","/api/v1/timeseries/3/"
"69",2015-03-10,127260848,"6.055","/api/v1/timeseries/3/"
"70",2015-03-11,125998753,"6.045","/api/v1/timeseries/3/"
"71",2015-03-12,119555489,"6.050","/api/v1/timeseries/3/"
"72",2015-03-13,114508242,"6.079","/api/v1/timeseries/3/"
"73",2015-03-14,113102576,"6.091","/api/v1/timeseries/3/"
"74",2015-03-15,123495849,"6.084","/api/v1/timeseries/3/"
"75",2015-03-16,122856943,"6.056","/api/v1/timeseries/3/"
"76",2015-03-17,125052310,"6.069","/api/v1/timeseries/3/"
"77",2015-03-18,128393280,"6.031","/api/v1/timeseries/3/"
"78",2015-03-19,124425432,"6.041","/api/v1/timeseries/3/"
"79",2015-03-20,120267877,"6.070","/api/v1/timeseries/3/"
"80",2015-03-21,118574919,"6.080","/api/v1/timeseries/3/"
"81",2015-03-22,130984463,"6.069","/api/v1/timeseries/3/"
"82",2015-03-23,126209276,"6.053","/api/v1/timeseries/3/"
"83",2015-03-24,126121962,"6.053","/api/v1/timeseries/3/"
"84",2015-03-25,146440252,"5.995","/api/v1/timeseries/3/"
"85",2015-03-26,147462221,"6.041","/api/v1/timeseries/3/"
"86",2015-03-27,137101621,"6.088","/api/v1/timeseries/3/"
